student_id,age,gender,state,city_tier,college_tier,branch,degree,cgpa,backlog_history,attendance_percentage,primary_language,DSA_problems_solved,GitHub_repos,hackathons_participated,adaptability_score
STU00001,22,Male,Karnataka,1,2,Computer Science,MCA,6.71,3,75.5,C++,656,10,2,81
STU00002,20,Male,Tamil Nadu,2,3,AI & DS,BTech,6.14,0,84.4,Rust,619,16,1,76
STU00003,23,Female,Uttar Pradesh,3,2,Computer Science,BTech,7.11,0,80.6,Java,674,30,3,34
STU00004,25,Male,Maharashtra,2,3,Civil,BTech,7.41,0,69.2,Rust,637,15,3,46
STU00005,25,Female,West Bengal,3,3,Civil,BE,8.29,0,76.6,Java,986,12,0,44
STU00006,24,Male,Uttar Pradesh,3,3,Electronics,BE,6.9,0,80.1,Python,686,8,0,78
STU00007,20,Female,Karnataka,2,3,Computer Science,BE,7.66,3,90.1,Java,792,15,2,89
STU00008,24,Female,Gujarat,2,3,Computer Science,MCA,5.98,0,78,JavaScript,531,14,4,57
STU00009,20,Male,Karnataka,2,3,Civil,BE,6.7,0,62.6,Rust,575,35,1,72
STU00010,23,Male,Delhi,3,3,AI & DS,BTech,6.99,0,86.6,Java,771,11,2,70
STU00011,21,Male,Karnataka,2,2,Information Technology,BTech,7.47,0,70.4,JavaScript,683,13,3,86
STU00012,24,Male,Telangana,1,3,Information Technology,BE,6.64,2,64.3,C++,628,16,4,38
STU00013,20,Male,Gujarat,2,2,AI & DS,MCA,8.31,0,68.9,Rust,665,11,4,51
STU00014,22,Male,Tamil Nadu,3,3,Civil,MCA,6.22,2,100,Python,603,11,5,87
STU00015,23,Female,Uttar Pradesh,1,1,Electronics,MCA,9.9,1,79.7,Rust,867,27,4,76
STU00016,22,Male,Telangana,3,3,Computer Science,BTech,7.15,1,79.7,Java,490,3,3,59
STU00017,24,Male,Gujarat,3,3,Computer Science,BTech,7.77,0,87.7,Go,925,11,4,72
STU00018,25,Female,West Bengal,3,3,Mechanical,MCA,6.26,0,100,JavaScript,518,18,4,69
STU00019,25,Female,Tamil Nadu,1,1,Information Technology,MCA,8.83,2,72.3,Go,619,23,1,60
